Filename,Year,Id,Sequence,Reach,Reach_vs_Avg,Bendat_Transition,Notes,Boller_Top,Top_Speech,Name,Party,War,War_Ind,Recession,Recession_Ind,CP_Public_Persuasion,CP_Overall,CP_Public_Persuasion_Display,CP_Overall_Display,CP_Top10,CP_Bottom10,Rating,Flesch Reading Ease,Flesch Kincaid Grade Level,Word Count,Words With Seven Letters,Words With One Syllable,Dale-Chall Difficult Words,Difficult_Words_Pct,Difficult_Words_Rank,Unique Word Count,Words Per Sentence,Speaking Time,Sentiment,Tone Number,Insistence,Activity,Activity_Rank,Optimism,Optimism_Rank,Certainty,Certainty_Rank,Realism,Realism_Rank,Commonality,Commonaliy_Rank,orig_x,orig_y,x,y,coord,Cluster,Label,Short_Label,Speech_Date,President_Age,Speech_Building,Speech_City,Speech_Weather
59_2021_JB.txt,2021,67,46,100%,33%,,Oldest president at time; first female Vice President Kamala Harris.,0,No,Joseph R. Biden,Democratic,,0,COVID-19 Recession,1,,,N/A,N/A,0,0,B,68.96,7.9,2522,448,1828,471,19%,55,766,18.5,10:00,Positive,36,11.37,49.6,16,53.51,27,48.33,40,51.56,13,49.97,28,-0.53993108,-0.19545728,-0.53993108,-0.19545728,0.32972912,4,s Inaugural Address,,"January 20th, 2021",78,"Capitol Building, West Front","Washington, DC","42 degrees, cloudy and brisk"
58_2017_DT.txt,2017,66,45,97%,30%,,"Together, let's make America great again.",0,No,Donald J. Trump,Republican,,0,,0,,,N/A,N/A,0,0,B,63.15,8.4,1458,320,982,285,20%,53,541,15.7,39:00,Positive,34,30.56,48.78,23,54.44,19,53.6,1,52.44,10,51.51,10,-0.323503,-1.45863699,-0.323503,-1.45863699,2.23227604,4,s Inaugural Address,,"January 20th, 2017",70,"Capitol Building, West Front","Washington, DC","48 degrees, rain sprinkles"
57_2013_BO.txt,2013,65,44,87%,20%,,Oath of office misstated & administered next day,0,No,Barack Obama,Democratic,,0,,0,10,12,10,12,0,0,C,61.2,9.7,2103,458,1449,453,22%,42,776,24.5,49:00,Positive,30,5.59,50.3,7,54.42,20,46.77,50,51.03,18,54.1,1,-1.46600867,1.09567816,-1.46600867,1.09567816,3.34969204,2,s Second Inaugural Address,2nd,"January 20th, 2013",51,"Capitol Building, West Front","Washington, DC","45 degrees, cloudy"
56_2009_BO.txt,2009,64,44,96%,29%,First African American President,First inauguration of an African American president; largest attendance,0,No,Barack Obama,Democratic,Iraq War,1,Great Recession,1,10,12,10,12,0,0,C,66.87,8.6,2395,457,1683,508,21%,48,890,21.6,09:00,Positive,32,1.97,47.29,36,51.47,50,49.52,31,53.34,8,49.66,35,-0.54315755,-1.15691197,-0.54315755,-1.15691197,1.63346543,4,s First Inaugural Address,1st,"January 20th, 2009",47,"Capitol Building, West Front","Washington, DC","28 degrees, cold and windy"
55_2005_GB.txt,2005,63,43,84%,17%,,First time a protest took place during the inaugural oath,0,No,George W. Bush,Republican,Iraq War,1,,0,25,33,25,33,0,0,C,57.25,10.1,2073,493,1366,462,22%,38,723,20.5,35:00,Positive,18,20.11,41.72,58,53.14,33,48.24,41,49.53,29,42.78,59,2.55263473,-0.9261263,2.55263473,-0.9261263,7.37365401,3,s Second Inaugural Address,2nd,"January 20th, 2005",58,"Capitol Building, West Front","Washington, DC",35 degrees mostly cloudy with some sun
54_2001_GB.txt,2001,62,43,96%,29%,Disputed Election,Father George became first former president to personally witness the inauguration of his son,0,No,George W. Bush,Republican,,0,,0,25,33,25,33,0,0,B,62.84,8.6,1579,355,1063,331,21%,52,585,18.6,37:00,Positive,27,14.76,51.24,4,51.84,47,48.36,39,49.75,27,51.27,15,-1.34781451,0.30273137,-1.34781451,0.30273137,1.90825023,4,s First Inaugural Address,1st,"January 20th, 2001",54,"Capitol Building, West Front","Washington, DC","36 degrees, fog and rain; sleet later in day"
53_1997_BC.txt,1997,61,42,96%,29%,,First inauguration broadcast live over Internet,0,No,Bill Clinton,Democratic,,0,,0,9,15,9,15,0,0,B,64.39,8.6,2158,450,1508,454,21%,51,717,19.1,15:00,Positive,19,26.03,45.91,49,57.94,3,51.08,14,55.69,2,48.79,45,1.17067988,-1.72685009,1.17067988,-1.72685009,4.3525026,4,s Second Inaugural Address,2nd,"January 20th, 1997",50,"Capitol Building, West Front","Washington, DC","34 degrees, sunny and overcast"
52_1993_BC.txt,1993,60,42,100%,33%,,First president to attend inaugural morning services at a predominantly African American church.,0,No,Bill Clinton,Democratic,,0,,0,9,15,9,15,0,0,B,64.53,7.9,1586,328,1098,340,21%,45,597,16.9,41:00,Positive,32,16.1,50.65,5,52.07,46,48.91,33,51.22,16,49.94,29,-0.96330182,-0.3898849,-0.96330182,-0.3898849,1.07996064,4,s First Inaugural Address,1st,"January 20th, 1993",46,"Capitol Building, West Front","Washington, DC","40 degrees, sunny"
51_1989_GB.txt,1989,59,41,100%,33%,,"Called inauguration ""Democracy's Big Day""",0,No,George H. W. Bush,Republican,,0,,0,23,20,23,20,0,0,B,76.82,6.3,2316,365,1760,386,17%,59,748,16.2,31:00,Positive,32,35.41,50.09,9,52.34,44,49.69,30,52.71,9,49.93,30,-0.86576499,-0.9274464,-0.86576499,-0.9274464,1.60970585,4,s Inaugural Address,,"January 20th, 1989",64,"Capitol Building, West Front","Washington, DC","51 degrees, cloudy, mild and breezy"
50_1985_RR.txt,1985,58,40,92%,25%,,Sunday ceremony at White House,0,No,Ronald Reagan,Republican,,0,,0,5,9,5,9,1,0,C,62.47,9.1,2560,536,1773,547,21%,47,857,20.2,28:00,Positive,27,23.79,47.26,37,54.82,15,46.21,52,53.74,7,51.37,11,-0.44008441,0.17877759,-0.44008441,0.17877759,0.22563571,4,s Second Inaugural Address,2nd,"January 21th, 1985",73,Capitol Rotunda,"Washington, DC","7 degrees, sunny but bitter cold"
